date,user_id,choice_id,question,editor
2022-05-13,aa516cd83ca47c4c0707d31047f6dc8a,2,workload,Dhrumil
2022-05-13,5a7ac9a0ee30d1e7bedafd9046162fc7,4,workload,Irena
2022-05-13,fb6da81da7c9b66f4dfd266096bca702,6,workload,Dhrumil
2022-05-13,f2dfc7b67a37987df95bd920a81a5cd3,3,workload,Dhrumil
2022-05-13,764f85855c5a57c62401a0834eda0fc9,4,workload,Dhrumil
2022-05-13,95ba860ed905cf268092ca1e90f91dd6,2,workload,Irena
2022-05-13,3ce992bb73ea135b1c738ef290cb93d5,5,workload,Irena
2022-05-13,c21a2438c0e9308e03a92ebd90c5d27d,4,workload,Irena
2022-05-13,a9864a7d130ce52cf17579545fc96643,5,workload,Dhrumil
2022-05-13,5119dd707d353a28b41fa1adcdda76be,1,workload,Dhrumil
2022-05-13,89135d5c75496c9d94251f30c748b9b8,4,workload,Dhrumil
2022-05-13,02ad64bf82ddd3aff9a2d535542075ac,6,workload,Dhrumil
2022-05-13,85e0b01e2551b858300dee580c9b0824,5,workload,Irena
2022-05-13,d20f2adf778ed2135e67fbd628d89304,2,workload,Irena
2022-05-13,4716f7a2eee28bddd0e115f021642950,1,workload,Irena
2022-05-13,8b728352298677976121c9bcf5f2a578,5,workload,Irena
2022-05-13,af89c92b83a70769aba5265b5a2c0965,10,workload,Irena
2022-05-13,b049b7eae43713e6aca6320c57b3bb88,1,workload,Irena
2022-05-13,8afe1d67be9656212e94aaa6995c8e39,6,workload,Irena
2022-05-13,c09694b5b867f8383b95640361c53ac7,1,workload,Dhrumil
2022-05-10,5119dd707d353a28b41fa1adcdda76be,6,workload,Dhrumil
2022-05-10,a9864a7d130ce52cf17579545fc96643,6,workload,Dhrumil
2022-05-10,f2dfc7b67a37987df95bd920a81a5cd3,2,workload,Dhrumil
2022-05-10,95ba860ed905cf268092ca1e90f91dd6,3,workload,Irena
2022-05-10,8afe1d67be9656212e94aaa6995c8e39,7,workload,Irena
2022-05-10,aa516cd83ca47c4c0707d31047f6dc8a,1,workload,Dhrumil
2022-05-10,02ad64bf82ddd3aff9a2d535542075ac,6,workload,Dhrumil
2022-05-10,c21a2438c0e9308e03a92ebd90c5d27d,5,workload,Irena
2022-05-10,89135d5c75496c9d94251f30c748b9b8,6,workload,Dhrumil
2022-05-10,b049b7eae43713e6aca6320c57b3bb88,8,workload,Irena
2022-05-10,5a7ac9a0ee30d1e7bedafd9046162fc7,3,workload,Irena
2022-05-10,d20f2adf778ed2135e67fbd628d89304,2,workload,Irena
2022-05-10,764f85855c5a57c62401a0834eda0fc9,4,workload,Dhrumil
2022-05-10,3ce992bb73ea135b1c738ef290cb93d5,4,workload,Irena
2022-05-10,2ab5e1542adfb5cbd739a0e443d7408b,5,workload,Irena
2022-05-10,c09694b5b867f8383b95640361c53ac7,3,workload,Dhrumil
2022-05-10,4716f7a2eee28bddd0e115f021642950,1,workload,Irena
2022-05-10,85e0b01e2551b858300dee580c9b0824,8,workload,Irena
2022-05-10,af89c92b83a70769aba5265b5a2c0965,7,workload,Irena
2022-05-06,f2dfc7b67a37987df95bd920a81a5cd3,7,workload,Dhrumil
2022-05-06,a9864a7d130ce52cf17579545fc96643,7,workload,Dhrumil
2022-05-06,fb6da81da7c9b66f4dfd266096bca702,5,workload,Dhrumil
2022-05-06,95ba860ed905cf268092ca1e90f91dd6,5,workload,Irena
2022-05-06,c21a2438c0e9308e03a92ebd90c5d27d,7,workload,Irena
2022-05-06,d20f2adf778ed2135e67fbd628d89304,3,workload,Irena
2022-05-06,b049b7eae43713e6aca6320c57b3bb88,9,workload,Irena
2022-05-06,af89c92b83a70769aba5265b5a2c0965,7,workload,Irena
2022-05-06,5119dd707d353a28b41fa1adcdda76be,7,workload,Dhrumil
2022-05-06,8afe1d67be9656212e94aaa6995c8e39,9,workload,Irena
2022-05-06,aa516cd83ca47c4c0707d31047f6dc8a,4,workload,Dhrumil
2022-05-06,764f85855c5a57c62401a0834eda0fc9,5,workload,Dhrumil
